 INFO  Accepting connections at http://localhost:3000
 HTTP  7/30/2026 3:25:43 PM ::1 GET /index.html
 HTTP  7/30/2026 3:25:43 PM ::1 Returned 301 in 30 ms
 HTTP  7/30/2026 3:25:43 PM ::1 GET /index
 HTTP  7/30/2026 3:25:43 PM ::1 Returned 301 in 1 ms
 HTTP  7/30/2026 3:25:43 PM ::1 GET /
 HTTP  7/30/2026 3:25:43 PM ::1 Returned 200 in 13 ms
 HTTP  7/30/2026 3:25:43 PM ::1 GET /main.js
 HTTP  7/30/2026 3:25:43 PM ::1 Returned 200 in 2 ms
 HTTP  7/30/2026 3:25:43 PM ::1 GET /characters/Penitent.js
 HTTP  7/30/2026 3:25:43 PM ::1 GET /world_builder/HubEnvironment.js
 HTTP  7/30/2026 3:25:43 PM ::1 Returned 200 in 4 ms
 HTTP  7/30/2026 3:25:43 PM ::1 Returned 200 in 3 ms
